@relation Converted_from_ACE_XML

@attribute Number_of_Pitches numeric
@attribute Number_of_Common_Pitches numeric
@attribute Range numeric
@attribute Dominant_Spread numeric
@attribute Strong_Tonal_Centres numeric
@attribute Pitch_Variability numeric
@attribute Pitch_Skewness numeric
@attribute Pitch_Kurtosis numeric
@attribute Most_Common_Melodic_Interval numeric
@attribute Amount_of_Arpeggiation numeric
@attribute Repeated_Notes numeric
@attribute Chromatic_Motion numeric
@attribute Stepwise_Motion numeric
@attribute Direction_of_Melodic_Motion numeric
@attribute Melodic_Pitch_Variety numeric
@attribute Vertical_Dissonance_Ratio numeric
@attribute Non-Standard_Chords numeric
@attribute Metrical_Diversity numeric
@attribute Mean_Rhythmic_Value numeric
@attribute Rhythmic_Value_Variability numeric
@attribute Complete_Rests_Fraction numeric
@attribute Rhythmic_Variability_-_Tempo_Standardized numeric
@attribute Polyrhythms_-_Tempo_Standardized numeric
@attribute Note_Density numeric
@attribute Note_Density_Variability numeric
@attribute Strongest_Rhythmic_Pulse numeric
@attribute Rhythmic_Variability numeric
@attribute Polyrhythms numeric
@attribute Number_of_Pitched_Instruments numeric
@attribute Number_of_Unpitched_Instruments numeric
@attribute Voice_Equality_-_Number_of_Notes numeric
@attribute Parallel_Motion numeric
@attribute Similar_Motion numeric
@attribute Contrary_Motion numeric
@attribute Oblique_Motion numeric
@attribute Average_Note_to_Note_Change_in_Dynamics numeric

@data
25.0, 2.0, 36.0, 4.0, 2.0, 7.962, 0.08631, 5.159, 2.0, 0.2888, 0.1149, 0.2081, 0.472, 0.3088, 4.167, 0.1714, 0.256, 2.0, 0.5705, 0.5093, 0.0, 0.02223, 0.5, 6.676, 2.517, 111.0, 0.03429, 0.3333, 1.0, 0.0, 88.02, 0.08679, 0.2406, 0.3037, 0.3688, 0.0
43.0, 0.0, 51.0, 2.0, 3.0, 11.82, -0.1469, 5.41, 0.0, 0.4792, 0.2448, 0.2083, 0.276, 0.3793, 3.511, 0.2076, 0.3477, 3.0, 0.8123, 0.3554, 0.06516, 0.03594, 1.0, 9.213, 2.091, 106.0, 0.03087, 1.0, 1.0, 0.0, 19.09, 0.0, 0.0, 0.0, 0.0, 1.13
54.0, 1.0, 65.0, 3.0, 2.0, 10.55, -0.4204, 6.612, 2.0, 0.4072, 0.08223, 0.1366, 0.3952, 0.1662, 2.469, 0.2298, 0.2609, 2.0, 0.5183, 0.33, 0.0, 0.03293, 0.4, 26.48, 7.36, 120.0, 0.02587, 0.375, 1.0, 0.0, 344.7, 0.1114, 0.1078, 0.05095, 0.7299, 1.625
56.0, 0.0, 76.0, 6.0, 3.0, 12.21, 0.5001, 5.696, 2.0, 0.3388, 0.0114, 0.1678, 0.4039, 0.4794, 6.157, 0.2812, 0.3037, 2.0, 0.4468, 0.7841, 0.05878, 0.02423, 0.3, 13.25, 5.167, 145.0, 0.02197, 0.08333, 1.0, 0.0, 171.8, 0.007257, 0.06967, 0.1553, 0.7678, 4.106
22.0, 3.0, 32.0, 4.0, 3.0, 6.938, 0.1576, 6.47, 2.0, 0.1889, 0.04444, 0.2222, 0.5333, 0.3605, 4.39, 0.2429, 0.3333, 3.0, 1.214, 0.9158, 0.02896, 0.03816, 0.75, 2.563, 1.741, 84.0, 0.043, 0.6667, 1.0, 0.0, 30.62, 0.1579, 0.1684, 0.08421, 0.5895, 2.534
31.0, 0.0, 40.0, 6.0, 2.0, 8.986, 0.1974, 5.37, 2.0, 0.4559, 0.0768, 0.1699, 0.4444, 0.3239, 3.709, 0.1059, 0.2109, 4.0, 0.3558, 0.3069, 0.1865, 0.02539, 0.2222, 18.94, 4.745, 84.0, 0.02125, 0.3571, 1.0, 0.0, 252.9, 0.09426, 0.09221, 0.1025, 0.7111, 5.574
52.0, 1.0, 55.0, 3.0, 2.0, 11.06, 0.4201, 5.399, 2.0, 0.2893, 0.01175, 0.2805, 0.5991, 0.4339, 4.552, 0.2106, 0.3155, 2.0, 0.4169, 0.324, 0.08387, 0.0248, 0.2, 12.85, 3.131, 72.0, 0.02243, 0.1667, 1.0, 0.0, 90.51, 0.1046, 0.04847, 0.04082, 0.8061, 0.5639
55.0, 0.0, 61.0, 3.0, 3.0, 12.93, -0.2774, 5.844, 3.0, 0.4703, 0.02303, 0.1285, 0.2061, 0.3474, 5.302, 0.2822, 0.3662, 3.0, 0.7395, 0.6694, 0.0, 0.02814, 0.3333, 20.93, 11.08, 107.0, 0.0226, 0.07692, 1.0, 0.0, 140.8, 0.005515, 0.0625, 0.02206, 0.9099, 2.135
54.0, 1.0, 68.0, 3.0, 2.0, 10.85, -0.445, 6.559, 2.0, 0.4251, 0.08021, 0.1417, 0.3209, 0.3532, 4.51, 0.3802, 0.39, 4.0, 0.125, 0.0, 0.8077, 0.03481, 0.6, 12.19, 3.406, 150.0, 0.03168, 0.5, 1.0, 0.0, 303.9, 0.06314, 0.2115, 0.1806, 0.5448, 0.4703
31.0, 3.0, 39.0, 3.0, 2.0, 7.547, -0.3018, 5.534, 0.0, 0.5566, 0.256, 0.1262, 0.3117, 0.2095, 2.697, 0.217, 0.4247, 2.0, 0.574, 0.5044, 0.0, 0.03078, 0.6, 9.355, 3.765, 141.0, 0.0398, 0.6667, 1.0, 0.0, 164.1, 0.03836, 0.1058, 0.09524, 0.7606, 1.028
48.0, 2.0, 56.0, 6.0, 2.0, 10.67, -0.1505, 5.767, 2.0, 0.249, 0.05138, 0.1877, 0.5435, 0.4104, 4.963, 0.2432, 0.3853, 3.0, 0.5327, 0.5224, 0.1494, 0.02548, 0.3, 12.83, 3.486, 176.0, 0.02053, 0.3333, 1.0, 0.0, 139.1, 0.1037, 0.1407, 0.1296, 0.6259, 4.89
50.0, 0.0, 55.0, 4.0, 2.0, 9.931, 0.1299, 5.498, 2.0, 0.3893, 0.05366, 0.1912, 0.4117, 0.3381, 4.402, 0.1799, 0.2876, 4.0, 0.746, 0.5683, 0.01567, 0.02965, 0.6, 9.372, 4.512, 108.0, 0.03206, 0.5, 1.0, 0.0, 262.1, 0.1047, 0.2322, 0.1952, 0.4678, 2.355
25.0, 4.0, 34.0, 2.0, 2.0, 10.08, -0.4025, 4.867, 7.0, 0.6943, 0.06369, 0.01911, 0.03185, 0.02721, 3.657, 0.1538, 0.3154, 2.0, 0.9884, 0.5505, 0.08993, 0.03715, 0.4, 8.573, 4.484, 81.0, 0.03715, 0.2, 1.0, 0.0, 96.39, 0.1373, 0.1888, 0.03648, 0.6373, 2.645
29.0, 5.0, 40.0, 3.0, 2.0, 8.611, -0.07742, 5.448, 7.0, 0.6436, 0.0297, 0.0396, 0.1683, 0.1582, 2.617, 0.02253, 0.03797, 2.0, 1.12, 0.9409, 0.01229, 0.03288, 0.6, 3.733, 3.294, 82.0, 0.03968, 0.6667, 1.0, 0.0, 13.44, 0.0619, 0.1476, 0.09048, 0.7, 1.38
68.0, 0.0, 72.0, 3.0, 3.0, 14.5, -0.5271, 5.529, 2.0, 0.3173, 0.01961, 0.1907, 0.4225, 0.3636, 4.161, 0.06748, 0.1775, 3.0, 0.215, 0.2047, 0.3059, 0.0237, 0.6, 16.52, 5.276, 110.0, 0.02543, 0.5, 1.0, 0.0, 278.4, 0.4649, 0.345, 0.1491, 0.04094, 3.769
48.0, 0.0, 52.0, 4.0, 2.0, 9.545, -0.3865, 6.19, 3.0, 0.4889, 0.0, 0.1228, 0.3025, 0.5222, 5.281, 0.1444, 0.0, 2.0, 0.2272, 0.08134, 0.02049, 0.02439, 0.3, 17.6, 2.499, 140.0, 0.02211, 0.1667, 1.0, 0.0, 294.2, 0.1416, 0.7224, 0.1133, 0.02266, 1.121
64.0, 0.0, 75.0, 3.0, 2.0, 18.81, -0.5078, 4.655, 15.0, 0.7116, 0.002899, 0.004348, 0.005797, 0.3706, 4.338, 0.1, 0.0, 2.0, 0.4272, 0.4344, 0.0791, 0.02496, 0.3, 17.36, 5.077, 120.0, 0.02002, 0.2667, 1.0, 0.0, 261.0, 0.1708, 0.104, 0.1315, 0.5937, 1.618
42.0, 0.0, 46.0, 4.0, 2.0, 8.696, 0.09635, 5.409, 2.0, 0.4151, 0.03145, 0.1426, 0.348, 0.355, 4.727, 0.1864, 0.2461, 2.0, 0.4908, 0.5839, 0.0, 0.02511, 0.3, 6.945, 2.26, 70.0, 0.03267, 0.3333, 1.0, 0.0, 110.1, 0.08505, 0.2294, 0.134, 0.5515, 1.891
45.0, 0.0, 57.0, 3.0, 2.0, 8.886, -0.3519, 5.535, 2.0, 0.4634, 0.04019, 0.07329, 0.2411, 0.202, 2.346, 0.1356, 0.2515, 4.0, 0.8767, 0.7487, 0.01483, 0.03924, 0.6667, 14.25, 8.426, 81.0, 0.03348, 0.5, 1.0, 0.0, 331.5, 0.08916, 0.1879, 0.06447, 0.6584, 3.995
32.0, 0.0, 31.0, 6.0, 2.0, 6.299, -0.2955, 5.849, 1.0, 0.3244, 0.06222, 0.3267, 0.5822, 0.5142, 5.383, 0.1603, 0.3487, 2.0, 0.6409, 0.6498, 0.0, 0.03481, 0.4, 7.685, 1.941, 184.0, 0.03904, 0.75, 1.0, 0.0, 45.98, 0.1423, 0.3327, 0.1924, 0.3327, 1.018
38.0, 1.0, 43.0, 6.0, 2.0, 9.467, -0.09822, 5.44, 2.0, 0.4058, 0.08442, 0.1721, 0.3929, 0.4716, 5.0, 0.1838, 0.2151, 2.0, 0.6177, 0.5388, 0.07081, 0.02596, 0.3333, 9.42, 4.34, 69.0, 0.02392, 0.2857, 1.0, 0.0, 60.47, 0.02479, 0.1281, 0.1074, 0.7397, 2.281
69.0, 0.0, 79.0, 3.0, 3.0, 13.39, -0.006968, 6.06, 1.0, 0.355, 0.03866, 0.2882, 0.4148, 0.2687, 3.808, 0.2407, 0.3358, 3.0, 0.8624, 0.6039, 0.03474, 0.03034, 0.4, 13.07, 6.358, 46.0, 0.02419, 0.375, 1.0, 0.0, 182.3, 0.1795, 0.1514, 0.2928, 0.3762, 1.106
26.0, 2.0, 36.0, 3.0, 2.0, 7.825, -0.2868, 5.317, 2.0, 0.5775, 0.1831, 0.06573, 0.2864, 0.2241, 3.081, 0.1848, 0.2184, 2.0, 0.7133, 0.4002, 0.0, 0.03224, 0.4, 9.741, 2.907, 44.0, 0.03661, 0.75, 1.0, 0.0, 98.15, 0.04804, 0.2174, 0.1049, 0.6296, 1.502
45.0, 0.0, 59.0, 3.0, 1.0, 11.08, 0.03255, 5.236, 2.0, 0.436, 0.05222, 0.1123, 0.3081, 0.4298, 4.478, 0.2024, 0.144, 3.0, 0.6683, 0.8414, 0.03816, 0.03273, 0.4, 4.554, 2.273, 55.0, 0.03718, 0.5, 1.0, 0.0, 74.12, 0.0, 0.1515, 0.2727, 0.5758, 2.005
46.0, 0.0, 64.0, 6.0, 2.0, 9.698, -0.1133, 5.956, 7.0, 0.5647, 0.03234, 0.06468, 0.1418, 0.1028, 4.269, 0.1596, 0.311, 3.0, 0.5087, 0.1448, 0.08652, 0.03474, 0.4, 18.14, 7.097, 107.0, 0.02918, 0.1429, 1.0, 0.0, 32.53, 0.151, 0.2408, 0.2841, 0.3242, 2.696
67.0, 0.0, 75.0, 4.0, 3.0, 16.82, 0.4509, 5.102, 2.0, 0.1991, 0.02431, 0.2037, 0.6735, 0.5845, 4.257, 0.2587, 0.3772, 2.0, 0.2738, 0.2974, 0.5308, 0.01537, 0.6, 12.32, 6.48, 45.0, 0.01679, 0.75, 1.0, 0.0, 7.778, 0.4688, 0.4423, 0.01052, 0.07839, 1.709
39.0, 1.0, 43.0, 3.0, 2.0, 9.181, -0.01014, 5.276, 1.0, 0.3536, 0.06084, 0.2129, 0.3764, 0.3968, 5.791, 0.2509, 0.3429, 3.0, 0.7138, 0.796, 0.0, 0.03477, 0.4, 4.545, 2.488, 78.0, 0.04523, 0.6667, 1.0, 0.0, 54.9, 0.09244, 0.1765, 0.1176, 0.6134, 2.6
68.0, 0.0, 68.0, 2.0, 2.0, 12.23, -0.4739, 6.025, 2.0, 0.3245, 0.04768, 0.1735, 0.4768, 0.439, 3.9, 0.2424, 0.2253, 2.0, 0.3036, 0.2435, 0.1451, 0.02291, 0.3, 22.76, 5.698, 112.0, 0.0192, 0.1429, 1.0, 0.0, 442.4, 0.09294, 0.2208, 0.1544, 0.5318, 2.072
34.0, 0.0, 52.0, 7.0, 2.0, 10.76, -0.002573, 5.329, 2.0, 0.3333, 0.04717, 0.1006, 0.4403, 0.3795, 5.645, 0.3794, 0.05949, 3.0, 0.2735, 0.1731, 0.05002, 0.01976, 0.2, 5.698, 2.22, 63.0, 0.03216, 0.5, 1.0, 0.0, 91.27, 0.05229, 0.2484, 0.3072, 0.3922, 0.4
25.0, 4.0, 34.0, 4.0, 2.0, 7.032, 0.5482, 5.352, 2.0, 0.4053, 0.09474, 0.1842, 0.4474, 0.5058, 4.102, 0.1579, 0.3026, 2.0, 0.6839, 0.8919, 0.01754, 0.029, 0.6, 7.618, 5.1, 45.0, 0.02771, 0.6, 1.0, 0.0, 40.99, 0.1416, 0.208, 0.0177, 0.6327, 6.332
50.0, 0.0, 52.0, 3.0, 2.0, 10.54, -0.224, 5.891, 2.0, 0.2923, 0.06702, 0.1858, 0.462, 0.3546, 4.281, 0.1625, 0.2333, 4.0, 0.835, 0.8355, 0.02673, 0.03439, 0.6, 9.93, 2.543, 161.0, 0.02912, 0.1429, 1.0, 0.0, 347.8, 0.1809, 0.1882, 0.15, 0.4809, 3.209
55.0, 0.0, 66.0, 4.0, 2.0, 10.31, 6.283E-4, 6.083, 2.0, 0.4166, 0.0941, 0.1807, 0.4166, 0.4474, 4.101, 0.2285, 0.3928, 2.0, 0.8329, 0.596, 0.05843, 0.0359, 0.4, 7.514, 3.054, 65.0, 0.0359, 0.4, 1.0, 0.0, 182.8, 0.05162, 0.1579, 0.1538, 0.6366, 1.823
56.0, 0.0, 65.0, 2.0, 3.0, 14.12, 0.04378, 5.604, 12.0, 0.6087, 0.07039, 0.008282, 0.01656, 0.245, 3.571, 0.1414, 0.2536, 5.0, 0.4117, 0.4615, 0.08487, 0.01772, 0.3, 9.832, 2.944, 130.0, 0.02547, 0.4, 1.0, 0.0, 40.31, 0.1571, 0.2938, 0.05036, 0.4988, 0.603
34.0, 1.0, 44.0, 4.0, 2.0, 7.932, -0.09625, 5.894, 2.0, 0.287, 0.02194, 0.1865, 0.4991, 0.3047, 4.789, 0.1401, 0.3136, 1.0, 0.588, 0.4084, 0.02041, 0.02448, 0.4444, 8.803, 1.901, 89.0, 0.02695, 0.25, 1.0, 0.0, 165.6, 0.1915, 0.3179, 0.0776, 0.413, 0.4113
48.0, 0.0, 48.0, 4.0, 2.0, 10.85, 0.3492, 4.906, 2.0, 0.4421, 0.05526, 0.1063, 0.288, 0.5771, 5.452, 0.275, 0.05816, 3.0, 0.4447, 0.6073, 0.02305, 0.01968, 0.375, 6.128, 2.603, 42.0, 0.02636, 0.6, 1.0, 0.0, 250.8, 0.01061, 0.09848, 0.1121, 0.7788, 1.812
61.0, 0.0, 68.0, 3.0, 2.0, 12.11, 0.1508, 5.387, 2.0, 0.4733, 0.0794, 0.1486, 0.3229, 0.3545, 3.363, 0.2041, 0.2706, 8.0, 0.4697, 0.421, 0.07878, 0.02475, 0.6, 16.77, 4.637, 157.0, 0.02134, 0.1429, 1.0, 0.0, 1831.0, 0.05252, 0.06912, 0.05684, 0.8215, 1.44
80.0, 0.0, 80.0, 3.0, 2.0, 14.41, -0.04063, 5.73, 2.0, 0.3661, 0.01384, 0.09381, 0.2798, 0.4844, 3.76, 0.0787, 0.1637, 2.0, 0.2283, 0.474, 0.1208, 0.01602, 0.2143, 23.03, 7.318, 60.0, 0.01728, 0.25, 1.0, 0.0, 932.9, 0.5581, 0.2134, 0.02636, 0.2022, 1.247
72.0, 0.0, 74.0, 3.0, 2.0, 14.4, 0.4429, 5.368, 12.0, 0.5264, 0.09487, 0.07941, 0.1293, 0.2911, 3.055, 0.181, 0.3639, 4.0, 0.392, 0.3043, 0.2745, 0.02727, 0.5714, 22.84, 8.444, 60.0, 0.02186, 0.3, 1.0, 0.0, 400.3, 0.3792, 0.05362, 0.04005, 0.5271, 1.911
71.0, 0.0, 77.0, 3.0, 2.0, 14.8, 0.5595, 5.172, 12.0, 0.5352, 0.04002, 0.0699, 0.1345, 0.3713, 3.563, 0.1315, 0.245, 4.0, 0.8111, 0.7277, 0.04427, 0.03336, 0.6, 12.29, 3.601, 60.0, 0.02622, 0.375, 1.0, 0.0, 500.0, 0.1936, 0.1211, 0.07356, 0.6117, 1.008
74.0, 0.0, 76.0, 3.0, 2.0, 14.5, 0.2149, 5.313, 12.0, 0.5137, 0.02517, 0.1121, 0.2037, 0.3363, 3.724, 0.1967, 0.313, 4.0, 0.4172, 0.5046, 0.2161, 0.02462, 1.0, 16.95, 5.232, 75.0, 0.02172, 0.6667, 1.0, 0.0, 582.9, 0.2156, 0.1184, 0.05538, 0.6106, 0.9498
77.0, 0.0, 78.0, 2.0, 1.0, 16.65, -0.4969, 5.322, 1.0, 0.4652, 0.02237, 0.139, 0.266, 0.2841, 3.71, 0.1899, 0.3482, 3.0, 0.6562, 0.8047, 0.2908, 0.0381, 0.6, 12.59, 5.992, 68.0, 0.03042, 0.3333, 1.0, 0.0, 921.3, 0.1814, 0.1508, 0.08888, 0.5789, 0.5157
79.0, 0.0, 78.0, 4.0, 2.0, 14.01, 0.1805, 5.795, 1.0, 0.3433, 0.03756, 0.1656, 0.3074, 0.2434, 4.585, 0.1396, 0.3671, 3.0, 0.5344, 0.5044, 0.004928, 0.02264, 0.3, 14.2, 5.935, 96.0, 0.02547, 0.375, 1.0, 0.0, 609.2, 0.4238, 0.1434, 0.03619, 0.3966, 0.8924
78.0, 0.0, 79.0, 3.0, 2.0, 14.94, -0.1011, 5.384, 2.0, 0.4283, 0.0352, 0.151, 0.3287, 0.3838, 3.944, 0.1671, 0.3333, 4.0, 0.3675, 0.4381, 0.1809, 0.02115, 0.3, 17.9, 8.003, 80.0, 0.02115, 0.3, 1.0, 0.0, 1269.0, 0.2043, 0.151, 0.08662, 0.558, 2.059
71.0, 0.0, 71.0, 3.0, 2.0, 14.23, 0.3047, 5.209, 7.0, 0.5491, 0.04094, 0.0727, 0.1772, 0.4332, 4.796, 0.1939, 0.2298, 5.0, 0.6215, 0.644, 0.03872, 0.01998, 0.5, 7.55, 6.195, 47.0, 0.02296, 0.4, 1.0, 0.0, 880.8, 0.03202, 0.09792, 0.08828, 0.7818, 0.6941
68.0, 0.0, 73.0, 3.0, 2.0, 10.63, 0.3457, 6.306, 7.0, 0.552, 0.1019, 0.0766, 0.1959, 0.1655, 1.901, 0.1998, 0.367, 2.0, 0.5197, 0.1916, 0.01608, 0.03463, 0.4, 25.43, 8.806, 91.0, 0.0346, 0.2, 1.0, 0.0, 1965.0, 0.1755, 0.09796, 0.05201, 0.6745, 0.4802
77.0, 0.0, 78.0, 3.0, 2.0, 16.98, 0.4478, 5.245, 1.0, 0.4694, 0.2053, 0.317, 0.3539, 0.3494, 3.747, 0.2278, 0.3146, 2.0, 0.3044, 0.1627, 0.01824, 0.023, 0.2, 25.43, 3.746, 53.0, 0.02195, 0.1818, 1.0, 0.0, 1330.0, 0.2662, 0.1221, 0.01937, 0.5923, 0.9465
58.0, 0.0, 70.0, 3.0, 2.0, 12.16, 0.2844, 5.523, 2.0, 0.4516, 0.05528, 0.08385, 0.2807, 0.5069, 5.567, 0.1507, 0.3368, 3.0, 1.198, 1.036, 0.004546, 0.03112, 0.4, 16.76, 3.437, 41.0, 0.02184, 0.4, 1.0, 0.0, 289.8, 0.0757, 0.1154, 0.07726, 0.7317, 1.062
74.0, 0.0, 76.0, 6.0, 2.0, 13.12, 0.2177, 5.546, 2.0, 0.3605, 0.04491, 0.1701, 0.4143, 0.3503, 3.738, 0.1502, 0.1499, 6.0, 0.3461, 0.5814, 0.2364, 0.03117, 0.6, 18.24, 4.782, 67.0, 0.02304, 0.2222, 1.0, 0.0, 607.5, 0.4232, 0.1049, 0.09176, 0.3801, 5.86
74.0, 1.0, 75.0, 2.0, 4.0, 14.16, -0.8314, 6.089, 7.0, 0.5345, 0.02623, 0.004824, 0.04311, 0.02446, 3.223, 0.1817, 0.3125, 2.0, 0.7565, 1.071, 0.0, 0.02482, 0.3, 11.59, 3.285, 84.0, 0.02987, 0.4286, 1.0, 0.0, 1126.0, 0.1278, 0.07284, 0.01837, 0.781, 0.8228
71.0, 1.0, 79.0, 2.0, 2.0, 11.96, 0.07502, 6.754, 3.0, 0.6079, 0.01979, 0.05215, 0.135, 0.4782, 4.449, 0.1581, 0.06469, 2.0, 0.345, 0.3689, 0.01604, 0.02404, 0.2, 20.15, 5.566, 52.0, 0.01795, 0.2353, 1.0, 0.0, 1228.0, 0.03922, 0.07284, 0.2711, 0.6168, 2.387
47.0, 0.0, 79.0, 3.0, 2.0, 16.14, 0.09096, 5.31, 2.0, 0.4263, 0.02435, 0.0788, 0.2798, 0.2087, 3.888, 0.07948, 0.2738, 4.0, 0.4852, 0.3227, 0.0339, 0.02943, 0.6, 24.34, 3.477, 200.0, 0.02197, 0.3333, 1.0, 0.0, 807.2, 0.5956, 0.05129, 0.0468, 0.3063, 2.082
74.0, 0.0, 78.0, 3.0, 2.0, 16.42, -0.2331, 5.217, 12.0, 0.4931, 0.02863, 0.2773, 0.3818, 0.4498, 7.037, 0.1493, 0.1056, 2.0, 0.3258, 0.176, 0.04846, 0.024, 0.2, 25.08, 7.786, 80.0, 0.02079, 0.3077, 1.0, 0.0, 171.4, 0.1883, 0.08488, 0.0809, 0.6459, 1.296
81.0, 0.0, 82.0, 2.0, 2.0, 17.1, 0.1917, 5.365, 12.0, 0.5639, 0.0685, 0.05946, 0.1348, 0.4371, 3.625, 0.2247, 0.3529, 5.0, 0.4635, 0.5598, 0.05529, 0.0226, 0.4, 12.76, 9.837, 40.0, 0.02267, 0.4, 1.0, 0.0, 1608.0, 0.09724, 0.1476, 0.0794, 0.6758, 1.31
53.0, 1.0, 64.0, 3.0, 2.0, 9.954, -0.09674, 5.671, 3.0, 0.5377, 0.04141, 0.06807, 0.194, 0.487, 4.325, 0.1461, 0.06892, 4.0, 0.3256, 0.4541, 0.01114, 0.02362, 0.3, 6.007, 2.484, 108.0, 0.03782, 0.5, 1.0, 0.0, 150.7, 0.05769, 0.3056, 0.1058, 0.5309, 1.335
77.0, 0.0, 80.0, 6.0, 2.0, 16.6, -0.5127, 5.47, 2.0, 0.2649, 0.02931, 0.1817, 0.5377, 0.2714, 4.134, 0.2436, 0.06832, 2.0, 0.2868, 0.3118, 0.2639, 0.0245, 0.3, 13.52, 3.545, 84.0, 0.02952, 0.4286, 1.0, 0.0, 1024.0, 0.2337, 0.1862, 0.2061, 0.374, 2.155
82.0, 0.0, 81.0, 3.0, 2.0, 17.67, 0.1337, 5.107, 2.0, 0.4131, 0.02967, 0.1303, 0.2988, 0.4101, 4.086, 0.1866, 0.2375, 4.0, 0.2543, 0.2428, 0.06752, 0.01623, 0.4, 18.01, 4.335, 100.0, 0.01797, 0.3333, 1.0, 0.0, 2459.0, 0.09893, 0.1776, 0.1083, 0.6151, 2.472
82.0, 0.0, 81.0, 3.0, 2.0, 16.15, -0.04937, 5.554, 12.0, 0.4658, 0.03925, 0.05109, 0.1401, 0.1867, 3.182, 0.1535, 0.288, 3.0, 0.5706, 0.6051, 0.07159, 0.02553, 0.4, 19.71, 9.12, 55.0, 0.02208, 0.2308, 1.0, 0.0, 3870.0, 0.1934, 0.1769, 0.1099, 0.5198, 1.986
84.0, 0.0, 84.0, 3.0, 2.0, 16.3, 0.00852, 5.367, 1.0, 0.445, 0.04012, 0.1722, 0.2616, 0.3129, 3.626, 0.2278, 0.3136, 2.0, 0.2111, 0.2077, 0.1767, 0.01399, 0.3636, 18.76, 7.865, 63.0, 0.01994, 0.4, 1.0, 0.0, 2657.0, 0.1566, 0.2406, 0.1313, 0.4715, 2.886
78.0, 0.0, 78.0, 4.0, 3.0, 15.23, -0.2776, 5.273, 2.0, 0.371, 0.01547, 0.1902, 0.4733, 0.4514, 4.73, 0.1967, 0.2575, 3.0, 0.1435, 0.07667, 0.05982, 0.01217, 0.24, 27.79, 6.144, 160.0, 0.01467, 0.2105, 1.0, 0.0, 1872.0, 0.1882, 0.2058, 0.1536, 0.4524, 2.875
77.0, 0.0, 78.0, 4.0, 2.0, 14.56, -0.3826, 6.112, 3.0, 0.5496, 0.09136, 0.08004, 0.1464, 0.2437, 3.447, 0.166, 0.2336, 4.0, 0.5351, 0.6513, 0.004639, 0.03005, 0.6, 16.27, 7.531, 55.0, 0.02552, 0.4286, 1.0, 0.0, 1823.0, 0.1377, 0.08464, 0.07726, 0.7004, 0.926
78.0, 0.0, 85.0, 3.0, 2.0, 17.37, 0.07422, 5.075, 3.0, 0.5016, 0.006592, 0.1285, 0.1786, 0.4509, 4.155, 0.1434, 0.3285, 1.0, 0.4886, 0.603, 0.07393, 0.02483, 0.3, 20.59, 8.909, 114.0, 0.0206, 0.2143, 1.0, 0.0, 1034.0, 0.149, 0.1009, 0.1618, 0.5883, 2.468
79.0, 0.0, 79.0, 4.0, 2.0, 14.03, -0.1025, 5.735, 12.0, 0.511, 0.03446, 0.09459, 0.1438, 0.2475, 3.259, 0.2147, 0.433, 3.0, 0.7012, 0.5991, 0.03286, 0.03093, 0.6, 15.93, 6.952, 49.0, 0.02805, 0.5, 1.0, 0.0, 2268.0, 0.166, 0.1272, 0.07247, 0.6343, 1.874
62.0, 0.0, 65.0, 3.0, 2.0, 12.68, -0.04305, 5.194, 1.0, 0.4665, 0.07522, 0.1553, 0.2864, 0.2134, 3.263, 0.127, 0.1503, 1.0, 0.6926, 0.6079, 0.03123, 0.03612, 0.6667, 7.221, 2.333, 43.0, 0.04379, 1.0, 1.0, 0.0, 338.4, 0.1149, 0.2924, 0.2866, 0.306, 2.95
67.0, 0.0, 69.0, 4.0, 2.0, 13.53, 0.1457, 5.428, 0.0, 0.4932, 0.1475, 0.08225, 0.2078, 0.3624, 3.772, 0.1527, 0.264, 4.0, 0.78, 0.3878, 0.01448, 0.03586, 0.4, 14.59, 4.755, 94.0, 0.02829, 0.375, 1.0, 0.0, 1194.0, 0.248, 0.1948, 0.1521, 0.4051, 5.927
75.0, 0.0, 77.0, 3.0, 2.0, 15.1, -0.2303, 5.219, 2.0, 0.405, 0.01477, 0.1098, 0.2341, 0.3661, 4.896, 0.1134, 0.1527, 3.0, 0.3916, 0.4628, 0.1379, 0.02779, 0.4, 18.98, 4.263, 91.0, 0.02207, 0.25, 1.0, 0.0, 936.4, 0.2085, 0.1987, 0.1512, 0.4416, 1.618
84.0, 0.0, 84.0, 3.0, 2.0, 16.01, 0.1377, 5.387, 2.0, 0.4934, 0.06521, 0.1033, 0.2357, 0.3919, 3.939, 0.1755, 0.2196, 4.0, 0.4761, 0.5061, 0.01934, 0.02141, 0.3, 16.8, 7.925, 156.0, 0.01895, 0.3333, 1.0, 0.0, 6910.0, 0.1571, 0.1918, 0.08393, 0.5671, 1.727
71.0, 0.0, 75.0, 3.0, 2.0, 12.99, 0.2361, 5.598, 2.0, 0.4773, 0.07979, 0.1186, 0.2559, 0.3705, 3.011, 0.1944, 0.23, 2.0, 0.2823, 0.36, 0.03154, 0.01371, 0.2857, 9.809, 5.36, 58.0, 0.0192, 0.4286, 1.0, 0.0, 1328.0, 0.05386, 0.09331, 0.0593, 0.7935, 1.224
