@relation Converted_from_ACE_XML

@attribute Number_of_Pitches numeric
@attribute Number_of_Common_Pitches numeric
@attribute Range numeric
@attribute Dominant_Spread numeric
@attribute Strong_Tonal_Centres numeric
@attribute Pitch_Variability numeric
@attribute Pitch_Skewness numeric
@attribute Pitch_Kurtosis numeric
@attribute Most_Common_Melodic_Interval numeric
@attribute Amount_of_Arpeggiation numeric
@attribute Repeated_Notes numeric
@attribute Chromatic_Motion numeric
@attribute Stepwise_Motion numeric
@attribute Direction_of_Melodic_Motion numeric
@attribute Melodic_Pitch_Variety numeric
@attribute Vertical_Dissonance_Ratio numeric
@attribute Non-Standard_Chords numeric
@attribute Metrical_Diversity numeric
@attribute Mean_Rhythmic_Value numeric
@attribute Rhythmic_Value_Variability numeric
@attribute Complete_Rests_Fraction numeric
@attribute Rhythmic_Variability_-_Tempo_Standardized numeric
@attribute Polyrhythms_-_Tempo_Standardized numeric
@attribute Note_Density numeric
@attribute Note_Density_Variability numeric
@attribute Strongest_Rhythmic_Pulse numeric
@attribute Rhythmic_Variability numeric
@attribute Polyrhythms numeric
@attribute Number_of_Pitched_Instruments numeric
@attribute Number_of_Unpitched_Instruments numeric
@attribute Voice_Equality_-_Number_of_Notes numeric
@attribute Parallel_Motion numeric
@attribute Similar_Motion numeric
@attribute Contrary_Motion numeric
@attribute Oblique_Motion numeric
@attribute Average_Note_to_Note_Change_in_Dynamics numeric

@data
41.0, 2.0, 48.0, 3.0, 2.0, 7.323, -0.3761, 6.198, 0.0, 0.6172, 0.2373, 0.07422, 0.1606, 0.3752, 3.931, 0.4733, 0.6038, 2.0, 0.2698, 0.2798, 0.01155, 0.01637, 0.2143, 16.47, 5.212, 67.0, 0.0181, 0.07692, 1.0, 0.0, 515.5, 0.003951, 0.05999, 0.04526, 0.8908, 1.231
75.0, 0.0, 75.0, 2.0, 2.0, 13.61, -0.2854, 5.487, 2.0, 0.4297, 0.07079, 0.1109, 0.3103, 0.2444, 3.443, 0.2023, 0.3547, 2.0, 0.5303, 0.407, 0.2434, 0.03107, 0.4, 21.19, 6.503, 126.0, 0.02396, 0.375, 1.0, 0.0, 679.5, 0.2169, 0.2184, 0.06297, 0.5017, 3.299
50.0, 0.0, 51.0, 3.0, 2.0, 12.12, -0.5811, 5.016, 1.0, 0.3179, 0.01359, 0.2509, 0.4375, 0.3581, 5.265, 0.1895, 0.1416, 3.0, 0.3448, 0.3429, 0.04375, 0.03088, 0.4, 6.598, 1.669, 53.0, 0.0491, 1.0, 1.0, 0.0, 192.0, 0.1906, 0.4417, 0.09865, 0.2691, 0.8466
66.0, 0.0, 65.0, 3.0, 2.0, 10.08, -0.002507, 6.117, 3.0, 0.4871, 0.01939, 0.09562, 0.229, 0.431, 4.528, 0.2309, 0.4043, 2.0, 0.6186, 0.6077, 0.1688, 0.03342, 0.6, 12.54, 4.872, 63.0, 0.02622, 0.375, 1.0, 0.0, 682.5, 0.06897, 0.2534, 0.07698, 0.6006, 2.036
49.0, 1.0, 53.0, 4.0, 2.0, 9.843, 0.08462, 6.454, 1.0, 0.4178, 0.1384, 0.2289, 0.3879, 0.4201, 3.838, 0.1811, 0.1922, 2.0, 0.6714, 0.4361, 0.05571, 0.02861, 0.5714, 8.122, 2.147, 57.0, 0.0336, 0.6, 1.0, 0.0, 259.2, 0.07162, 0.2108, 0.2126, 0.505, 4.168
50.0, 0.0, 65.0, 3.0, 2.0, 9.981, -0.05984, 5.597, 5.0, 0.3962, 0.058, 0.1325, 0.2625, 0.4102, 5.511, 0.1808, 0.2194, 3.0, 0.5055, 0.4968, 0.002949, 0.0204, 0.3333, 10.19, 3.373, 112.0, 0.02218, 0.2222, 1.0, 0.0, 287.9, 0.02414, 0.06999, 0.07241, 0.8335, 2.006
57.0, 2.0, 65.0, 4.0, 2.0, 9.396, -0.3334, 6.949, 4.0, 0.5152, 0.006353, 0.09339, 0.2179, 0.452, 4.799, 0.3086, 0.02059, 2.0, 0.2978, 0.1788, 0.01828, 0.02425, 0.3, 15.3, 2.622, 107.0, 0.02106, 0.07692, 1.0, 0.0, 440.0, 0.1056, 0.3486, 0.1208, 0.425, 1.85
33.0, 3.0, 43.0, 6.0, 2.0, 7.222, 0.1289, 6.727, 2.0, 0.464, 0.1593, 0.1039, 0.3463, 0.374, 3.655, 0.3194, 0.5611, 3.0, 0.873, 0.6928, 0.02856, 0.03107, 0.4, 6.576, 2.307, 56.0, 0.03541, 0.5, 1.0, 0.0, 129.4, 0.03075, 0.1493, 0.104, 0.716, 1.175
72.0, 0.0, 80.0, 5.0, 2.0, 12.82, 0.1553, 5.745, 2.0, 0.4419, 0.07307, 0.1286, 0.3258, 0.3056, 4.75, 0.2857, 0.361, 2.0, 0.3293, 0.3695, 0.2671, 0.02329, 0.6, 12.89, 4.745, 99.0, 0.02504, 0.4, 1.0, 0.0, 710.5, 0.1808, 0.2608, 0.1869, 0.3715, 3.443
63.0, 0.0, 77.0, 4.0, 2.0, 13.28, 0.2276, 6.062, 2.0, 0.4621, 0.1002, 0.07997, 0.2668, 0.4294, 3.83, 0.08884, 0.08345, 3.0, 0.6646, 0.5736, 0.06248, 0.03025, 0.4, 8.5, 5.453, 62.0, 0.03028, 0.4, 1.0, 0.0, 445.4, 0.3521, 0.2659, 0.08347, 0.2986, 2.385
