,Unnamed: 0,Unnamed: 0.1,Composer,clusters,Number_of_Pitches,Number_of_Common_Pitches,Range,Dominant_Spread,Strong_Tonal_Centres,Pitch_Variability,Pitch_Skewness,Pitch_Kurtosis,Most_Common_Melodic_Interval,Amount_of_Arpeggiation,Repeated_Notes,Chromatic_Motion,Stepwise_Motion,Direction_of_Melodic_Motion,Average_Length_of_Melodic_Arcs,Average_Interval_Spanned_by_Melodic_Arcs,Melodic_Pitch_Variety,Vertical_Dissonance_Ratio,Non-Standard_Chords,Complex_Chords,Initial_Time_Signature_0,Initial_Time_Signature_1,Metrical_Diversity,Mean_Rhythmic_Value,Rhythmic_Value_Variability,Complete_Rests_Fraction,Rhythmic_Variability_-_Tempo_Standardized,Polyrhythms_-_Tempo_Standardized,Note_Density,Note_Density_Variability,Strongest_Rhythmic_Pulse,Rhythmic_Variability,Polyrhythms,Number_of_Pitched_Instruments,Voice_Equality_-_Number_of_Notes,Parallel_Motion,Similar_Motion,Contrary_Motion,Oblique_Motion,Average_Note_to_Note_Change_in_Dynamics
25,25,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/dolly_suite_4_(c)oguri.mid,6.0,0,60.0,0.0,66.0,3.0,2.0,13.82,0.04513,5.523,2.0,0.3953,0.0028190000000000003,0.1071,0.2713,0.5329,1.745,13.9,7.9060000000000015,0.2484,0.3628,0.04371,4.0,4.0,1.0,0.9016,0.7695,0.06774,0.007984,0.5,7.86,2.576,43.0,0.007984,0.5,1.0,123.0,0.0408,0.3032,0.06291000000000001,0.5931,9.417
26,26,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/dolly_suite_4_(c)yogore.mid,6.0,1,60.0,0.0,66.0,3.0,2.0,13.8,0.04032,5.5139999999999985,2.0,0.3294,0.02244,0.1741,0.4587,0.4637,2.55,13.5,5.908,0.1841,0.3053,0.003606,3.0,4.0,2.0,1.337,1.086,0.013369999999999998,0.03921,0.6667,9.995,1.608,99.0,0.02915,0.4,1.0,214.7,0.1052,0.05004,0.1026,0.7422,2.137
27,27,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/dolly_suite_5_(c)halstead.mid,6.0,1,60.0,0.0,64.0,3.0,2.0,12.56,-0.2986,5.707999999999998,2.0,0.3996,0.06585,0.1484,0.375,0.4253,1.929,10.53,6.352,0.3072,0.4797,0.0273,3.0,4.0,1.0,0.8667,0.6921,0.016909999999999998,0.026330000000000003,0.6,4.513,1.325,50.0,0.03954,1.0,1.0,247.5,0.04769,0.1083,0.1292,0.7148,5.239
28,28,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/dolly_suite_5_(c)oguri.mid,6.0,1,60.0,0.0,64.0,3.0,2.0,12.55,-0.2898,5.716,12.0,0.5287,0.01753,0.058420000000000014,0.1529,0.4836,1.531,14.08,6.8,0.2563,0.4225,0.02748,4.0,4.0,1.0,1.777,1.766,0.0485,0.007406999999999999,0.2,4.671,1.843,43.0,0.007406999999999999,0.2,1.0,246.8,0.03142,0.2556,0.04749,0.6655,10.6
29,29,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/dolly_suite_5_(c)yogore.mid,6.0,0,60.0,0.0,64.0,3.0,2.0,12.58,-0.2981,5.718,2.0,0.3869,0.08371,0.1425,0.371,0.4025,2.115,12.1,5.872999999999998,0.2282,0.4155,0.005215,3.0,4.0,1.0,0.8271,0.738,0.0,0.03053,0.4,6.372000000000001,1.617,70.0,0.039810000000000005,0.6667,1.0,112.9,0.09118,0.1006,0.1529,0.6553,1.957
30,30,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/dolly_suite_6_(c)halstead.mid,6.0,0,70.0,0.0,76.0,6.0,2.0,14.36,-0.4248,5.502999999999999,2.0,0.3056,0.03632,0.1496,0.4808,0.444,2.153,9.16,4.805,0.2406,0.4613,0.030080000000000006,3.0,8.0,1.0,0.4795,0.5668,0.01816,0.02433,0.3,16.69,5.8039999999999985,73.0,0.02572,0.2222,1.0,81.32,0.1602,0.1775,0.1227,0.5395,5.964
31,31,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/dolly_suite_6_(c)oguri.mid,6.0,0,71.0,0.0,79.0,6.0,2.0,14.19,-0.03992,5.56,2.0,0.4117,0.02075,0.05025,0.2162,0.4906,1.47,14.4,6.019,0.2892,0.4531,0.0205,4.0,4.0,1.0,0.3601,0.5155,0.1433,0.006895999999999999,0.2308,17.87,7.255,40.0,0.006895999999999999,0.2308,1.0,65.76,0.0737,0.2829,0.07038,0.573,9.984
32,32,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/dolly_suite_6_(c)yogore.mid,6.0,0,71.0,0.0,76.0,7.0,2.0,14.16,-0.2155,5.55,2.0,0.315,0.0317,0.1123,0.4704,0.4686,1.837,9.319,4.581,0.2241,0.4782,0.01325,3.0,8.0,1.0,0.4388,0.5476,0.05609,0.02351,0.3,21.39,6.5379999999999985,92.0,0.02136,0.3333,1.0,161.0,0.1686,0.1431,0.1111,0.5772,3.313
33,33,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/impromptu_1_(c)dery.mid,6.0,0,74.0,0.0,77.0,3.0,2.0,14.79,0.2269,5.5870000000000015,5.0,0.4743,0.03009,0.08009,0.1637,0.5871,1.858,12.31,6.403,0.2412,0.3173,0.001538,6.0,4.0,2.0,0.6435,0.3486,0.02175,0.03243,0.6,13.12,4.604,197.0,0.02399,0.1111,1.0,0.0,0.1245,0.3328,0.2496,0.2931,3.2230000000000003
34,34,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/impromptu_2_(c)dery.mid,6.0,0,69.0,0.0,81.0,2.0,2.0,14.15,0.4544,5.6179999999999986,2.0,0.3787,0.009248,0.1753,0.3817,0.5163,2.486,10.77,5.896,0.3487,0.2274,0.01214,2.0,4.0,3.0,0.406,0.4774,0.0654,0.022,0.375,11.78,3.479,69.0,0.02109,0.25,1.0,0.0,0.06448999999999999,0.2146,0.1749,0.5461,2.217
35,35,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/impromptu_3_(c)dery.mid,6.0,0,77.0,0.0,81.0,4.0,2.0,14.47,-0.04212,5.665,3.0,0.4887,0.01087,0.05525,0.2151,0.5435,2.0580000000000003,11.46,6.53,0.2621,0.2864,0.0,2.0,4.0,2.0,0.476,0.4208,0.02935,0.02342,0.2,9.501,2.8510000000000004,52.0,0.02644,0.25,1.0,0.0,0.07152,0.1833,0.2086,0.5366,2.492
36,36,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/impromptu_4_(c)dery.mid,6.0,0,66.0,0.0,72.0,3.0,2.0,11.79,0.05406,5.722,2.0,0.3867,0.03064,0.15,0.3111,0.5515,1.98,11.1,6.896,0.3959,0.3099,0.004579,2.0,4.0,2.0,0.4056,0.337,0.015069999999999997,0.01989,0.3,8.44,3.832,84.0,0.02443,0.4286,1.0,0.0,0.05878,0.277,0.1457,0.5185,3.097
37,37,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/impromptu_5_(c)dery.mid,6.0,0,71.0,0.0,72.0,6.0,3.0,11.98,0.1962,6.114,2.0,0.3382,0.01594,0.06999,0.4103,0.5415,2.857,14.02,8.238999999999999,0.3238,0.2349,0.0,2.0,4.0,1.0,0.4858,0.5253,0.03902,0.02265,0.2,12.67,1.987,42.0,0.01897,0.3571,1.0,0.0,0.02493,0.1381,0.04794,0.7891,2.344
38,38,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/nocturne_10_(c)dery.mid,6.0,0,63.0,0.0,65.0,3.0,2.0,10.68,0.1404,6.079,2.0,0.4341,0.02713,0.07267,0.1802,0.4821,1.612,12.45,5.738,0.2852,0.289,0.01623,4.0,4.0,1.0,0.6717,0.6084,0.01016,0.02566,0.2,5.3020000000000005,2.3280000000000003,65.0,0.03607,0.4,1.0,0.0,0.1838,0.2386,0.1324,0.4453,6.189
39,39,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/nocturne_11_(c)dery.mid,6.0,0,54.0,0.0,55.0,3.0,3.0,10.42,-0.3829,5.763,2.0,0.5461,0.07781,0.05764,0.1614,0.4547,1.675,11.57,5.043,0.2942,0.4092,0.0,3.0,4.0,1.0,0.7733,0.6184,0.0262,0.02939,0.6,5.43,2.6860000000000004,63.0,0.04011,0.6667,1.0,0.0,0.1123,0.1477,0.1241,0.6158,4.199
40,40,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/nocturne_12_(c)dery.mid,6.0,0,63.0,0.0,64.0,5.0,2.0,11.85,0.1865,5.569,2.0,0.4266,0.05779,0.1205,0.2682,0.4854,1.702,10.15,5.579,0.2309,0.4225,0.0,12.0,8.0,1.0,0.8207,0.8270000000000001,0.00456,0.0272,0.5714,9.108,4.016,74.0,0.02884,0.3333,1.0,0.0,0.06676,0.1097,0.0869,0.7366,4.188
41,41,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/nocturne_13_(c)dery.mid,6.0,0,74.0,0.0,75.0,3.0,2.0,11.85,0.1336,6.0310000000000015,2.0,0.4263,0.03639,0.1021,0.2774,0.5522,2.033,11.27,6.255,0.243,0.3129,0.004451,3.0,2.0,2.0,1.079,1.099,0.0106,0.026060000000000003,0.3,7.351,3.398,68.0,0.02591,0.2,1.0,0.0,0.09205,0.1537,0.08445,0.6698,3.749
42,42,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/nocturne_1_(c)dery.mid,6.0,0,70.0,0.0,77.0,2.0,2.0,13.12,-0.1478,5.767,2.0,0.3768,0.07692,0.1726,0.3534,0.4566,1.926,10.45,4.886,0.2018,0.3209,0.04757,3.0,4.0,2.0,0.5063,0.5238,0.01118,0.0207,0.4,6.155,1.642,53.0,0.03255,0.5,1.0,0.0,0.06742999999999999,0.1432,0.1006,0.6887,3.5
43,43,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/nocturne_2_(c)dery.mid,6.0,0,71.0,0.0,76.0,3.0,2.0,13.4,-0.02214,5.845,3.0,0.4531,0.03783,0.08183,0.2282,0.5231,2.229,13.67,5.949,0.232,0.1978,0.01155,4.0,4.0,3.0,0.2663,0.2763,0.037860000000000005,0.01731,0.2667,9.955,2.818,76.0,0.02266,0.2222,1.0,0.0,0.05923,0.1967,0.1026,0.6415,3.987
44,44,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/nocturne_3_(c)dery.mid,6.0,0,63.0,0.0,66.0,2.0,2.0,11.93,0.1447,5.9510000000000005,2.0,0.4562,0.01971,0.08175,0.2474,0.5205,1.884,11.67,6.122999999999998,0.2133,0.2526,0.009323,3.0,4.0,1.0,0.5227,0.657,0.02198,0.02207,0.3,6.979,2.043,82.0,0.02695,0.4286,1.0,0.0,0.05139,0.1484,0.07564,0.7246,2.049
45,45,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/nocturne_4_(c)dery.mid,6.0,0,68.0,0.0,70.0,6.0,2.0,11.92,0.1358,5.803,7.0,0.4926,0.01683,0.06782,0.1559,0.496,1.631,11.92,5.723,0.1991,0.335,0.02878,4.0,4.0,2.0,0.4959,0.6729999999999999,0.01424,0.02107,0.2,6.2970000000000015,2.19,56.0,0.03293,0.5,1.0,0.0,0.07672999999999999,0.1951,0.1307,0.5974,3.332
46,46,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/nocturne_5_(c)dery.mid,6.0,0,72.0,0.0,75.0,3.0,2.0,12.81,0.04182,5.9270000000000005,2.0,0.45,0.01823,0.07874,0.2219,0.4955,1.936,13.12,6.961,0.2672,0.4084,0.01641,3.0,4.0,3.0,0.6048,0.6741,0.052660000000000005,0.02128,0.2667,7.941,4.1,96.0,0.02392,0.3333,1.0,0.0,0.08548,0.1589,0.1261,0.6295,4.134
47,47,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/nocturne_6_(c)dery.mid,6.0,0,75.0,0.0,81.0,2.0,2.0,12.75,0.1593,5.7410000000000005,3.0,0.4692,0.02626,0.04989,0.1808,0.5474,1.889,12.62,6.296,0.2735,0.2795,0.01621,3.0,2.0,3.0,0.6397,0.7445,0.02934,0.02101,0.3,7.1560000000000015,2.986,47.0,0.02363,0.375,1.0,0.0,0.06362000000000001,0.1398,0.1346,0.662,3.748
48,48,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/nocturne_7_(c)dery.mid,6.0,0,82.0,0.0,81.0,5.0,1.0,12.93,0.1081,6.097,2.0,0.4037,0.03245,0.1214,0.3,0.5287,2.255,13.27,6.564,0.2557,0.3976,0.04795,18.0,8.0,4.0,0.8745,0.9328,0.01829,0.02501,0.6,7.249,2.92,69.0,0.02731,0.25,1.0,0.0,0.07225,0.13,0.1051,0.6927,3.342
49,49,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/nocturne_8_(c)dery.mid,6.0,0,62.0,0.0,72.0,3.0,2.0,12.34,-0.2272,5.449,2.0,0.3281,0.01451,0.115,0.4051,0.6025,2.426,11.69,6.2010000000000005,0.3441,0.4581,0.006129,12.0,8.0,1.0,0.6157,0.6451,0.04912,0.02449,0.3,7.65,2.445,59.0,0.0295,0.4286,1.0,0.0,0.0316,0.1185,0.09481,0.7551,3.767
50,50,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/nocturne_9_(c)dery.mid,6.0,0,58.0,0.0,57.0,3.0,3.0,11.02,-0.1229,5.8439999999999985,1.0,0.4809,0.06356,0.1186,0.2023,0.4966,1.596,10.69,5.275,0.2602,0.3431,0.02428,3.0,2.0,1.0,0.8668,0.7897,0.01312,0.03524,0.4,5.375,1.865,44.0,0.03961,0.5,1.0,0.0,0.07211000000000001,0.1954,0.1499,0.5825,3.9
51,51,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/prelude_103_1_(c)dery.mid,6.0,0,54.0,0.0,65.0,2.0,2.0,10.07,-0.1056,6.787000000000001,0.0,0.6648,0.2093,0.0198,0.04809,0.5045,1.187,12.11,5.674,0.3299,0.3505,0.03972,4.0,4.0,2.0,0.6483,0.6665,0.008276,0.02464,0.2,4.651,1.234,56.0,0.03966,0.5,1.0,0.0,0.09976,0.256,0.1671,0.4772,5.518
52,52,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/prelude_103_2_(c)dery.mid,6.0,0,48.0,0.0,51.0,3.0,2.0,10.2,-0.1466,6.0,2.0,0.1308,0.01327,0.2512,0.7555,0.4755,1.554,4.827,4.357,0.2895,0.4505,0.151,5.0,4.0,1.0,0.3533,0.7575,0.05069,0.01983,0.2667,12.56,5.98,46.0,0.01847,0.2941,1.0,0.0,0.3082,0.139,0.0997,0.4532,6.836
53,53,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/prelude_103_3_(c)dery.mid,6.0,0,56.0,0.0,56.0,2.0,2.0,10.15,0.114,5.92,7.0,0.5116,0.08113,0.06291000000000001,0.1308,0.5261,1.577,12.16,6.315,0.2592,0.2861,0.01618,9.0,8.0,1.0,1.142,0.9121,0.03906,0.02887,0.3333,4.618,2.033,75.0,0.03096,0.2,1.0,0.0,0.0566,0.2058,0.07376,0.6638,4.637
54,54,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/prelude_103_4_(c)dery.mid,6.0,0,55.0,0.0,64.0,2.0,2.0,10.94,-0.2956,5.983,2.0,0.375,0.0293,0.1309,0.3145,0.5372,1.934,10.47,6.023,0.2114,0.2517,0.006993000000000001,6.0,8.0,1.0,0.868,0.7479,0.009116,0.027610000000000003,0.5714,6.646,2.498,57.0,0.03261,0.6,1.0,0.0,0.08267000000000001,0.1384,0.1813,0.5976,3.967
55,55,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/prelude_103_5_(c)dery.mid,6.0,0,49.0,0.0,53.0,6.0,2.0,9.697,-0.2879,5.752000000000002,2.0,0.4733,0.04,0.064,0.2227,0.5556,1.756,10.18,6.29,0.2432,0.4535,0.01267,3.0,4.0,1.0,0.8415,0.7903,0.01341,0.0227,0.3,8.626,4.011,112.0,0.0233,0.2222,1.0,0.0,0.06209,0.2473,0.1754,0.5153,4.848
56,56,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/prelude_103_6_(c)dery.mid,6.0,0,50.0,0.0,60.0,7.0,2.0,11.91,-0.1748,4.99,2.0,0.2967,0.01179,0.1572,0.4617,0.4394,2.226,9.982,6.528,0.2229,0.5414,0.0,3.0,2.0,1.0,0.7677,0.6567,0.03338,0.03492,0.6,5.347,1.6569999999999998,82.0,0.03917,0.75,1.0,0.0,0.07891000000000001,0.2286,0.2558,0.4367,4.797
57,57,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/prelude_103_7_(c)dery.mid,6.0,0,58.0,0.0,62.0,3.0,2.0,10.33,-0.1497,6.023,4.0,0.5525,0.06675,0.02967,0.1038,0.5113,1.6030000000000002,10.71,5.175,0.3111,0.4605,0.03896,4.0,4.0,1.0,0.606,0.6282,0.02943,0.02422,0.3,6.7570000000000014,2.443,69.0,0.03169,0.3333,1.0,0.0,0.05263,0.2011,0.1579,0.5884,4.227
58,58,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/prelude_103_8_(c)dery.mid,6.0,0,47.0,0.0,50.0,2.0,2.0,8.5,0.1706,6.25,0.0,0.5503,0.328,0.08642000000000001,0.254,0.6168,2.268,13.64,3.943,0.248,0.3908,0.01002,3.0,4.0,1.0,0.5793,0.6913,0.211,0.035710000000000006,0.6,11.44,3.147,62.0,0.02805,0.375,1.0,0.0,0.0948,0.2141,0.1529,0.5382,2.295
59,59,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/prelude_103_9_(c)dery.mid,6.0,0,37.0,0.0,41.0,3.0,2.0,7.282,-0.08867,6.151,1.0,0.287,0.02115,0.2719,0.4985,0.5957,2.592,9.064,6.959,0.3669,0.5818,0.0,4.0,4.0,2.0,0.8582,0.5882,0.03725,0.02774,0.5,3.427,1.413,55.0,0.04428,0.6667,1.0,0.0,0.07567,0.138,0.06083,0.7255,5.1720000000000015
60,60,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/requiem_1_(c)siu.mid,6.0,0,51.0,1.0,51.0,2.0,2.0,9.93,-0.1844,5.8370000000000015,1.0,0.474,0.1209,0.1752,0.3284,0.4968,2.559,10.43,4.879,0.1054,0.3178,0.016659999999999998,1.0,4.0,2.0,1.29,1.143,0.03787,0.03664,0.4,8.443,6.377000000000002,60.0,0.04818,0.6667,8.0,124.6,0.1201,0.09933,0.1195,0.6611,5.084
61,61,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/requiem_2_(c)siu.mid,6.0,0,45.0,0.0,47.0,7.0,3.0,7.8679999999999986,-0.2652,6.104,1.0,0.3534,0.1323,0.2932,0.5558,0.4689,1.946,5.386,4.098,0.1711,0.2799,0.05849,1.0,4.0,3.0,0.8233,0.8866,0.03926,0.0312,0.6,8.43,5.062,53.0,0.05011,1.0,7.0,129.5,0.1142,0.1175,0.1573,0.6109,3.847
62,62,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/requiem_3_(c)siu.mid,6.0,1,56.0,4.0,64.0,2.0,2.0,8.467,-0.1996,7.492000000000001,4.0,0.5823,0.1188,0.04654,0.1958,0.5609,2.314,11.19,4.4830000000000005,0.1108,0.1971,0.04127,1.0,4.0,2.0,0.6959,1.331,0.03801,0.03044,0.6667,16.28,5.087,60.0,0.04372,1.0,8.0,271.8,0.04711,0.05124,0.02945,0.8722,1.129
63,63,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/requiem_4_(c)siu.mid,6.0,0,39.0,0.0,44.0,6.0,2.0,10.05,-0.5179,5.441,2.0,0.389,0.03036,0.1148,0.4658,0.4638,2.0,7.466,4.221,0.08899,0.1724,0.03995,1.0,4.0,2.0,1.078,1.063,0.07009,0.03559,0.4,6.926,5.055,49.0,0.05632,1.0,8.0,113.5,0.175,0.09031,0.2427,0.4920000000000001,1.671
64,64,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/requiem_5_(c)siu.mid,6.0,0,55.0,0.0,54.0,3.0,2.0,9.83,-0.2542,5.765,2.0,0.4978,0.139,0.125,0.3116,0.457,2.437,10.91,4.845,0.08183,0.2114,0.01132,1.0,4.0,3.0,1.096,1.074,0.02721,0.032060000000000005,0.6,11.0,6.734,56.0,0.05073,1.0,8.0,142.8,0.09788,0.09445,0.08413999999999999,0.7235,3.326
65,65,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/requiem_6_(c)siu.mid,6.0,1,47.0,2.0,46.0,3.0,2.0,9.624,-0.3523,5.559,0.0,0.5388,0.2915,0.1068,0.2537,0.4478,1.721,8.141,3.278,0.1619,0.3374,0.04229,1.0,4.0,3.0,1.431,1.878,0.02379,0.0325,0.6667,18.69,10.93,49.0,0.030910000000000007,0.6667,11.0,249.5,0.162,0.218,0.116,0.504,2.394
66,66,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/requiem_7_(c)siu.mid,6.0,0,50.0,2.0,59.0,2.0,2.0,10.48,-0.1709,5.981,5.0,0.481,0.1204,0.0636,0.2538,0.4758,1.934,8.001,4.004,0.1145,0.1995,0.06666,1.0,4.0,2.0,1.091,1.71,0.02831,0.02624,0.4,9.075,3.794,55.0,0.04172,0.5,8.0,133.2,0.07088,0.2147,0.04864,0.6657,1.58
67,67,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/theme_et_variationen_73_(c)lefeldt.mid,6.0,0,61.0,0.0,80.0,3.0,2.0,9.986,0.05451,6.343,2.0,0.3508,0.01868,0.1595,0.3449,0.3677,2.4930000000000003,14.58,5.723,0.1994,0.1861,0.002444,1.0,8.0,10.0,0.5171,0.4788,0.08501,0.023,0.4,3.707,2.306,66.0,0.03081,0.4,1.0,0.0,0.2093,0.1541,0.1016,0.5351,9.837
68,68,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/valse_caprice_1_(c)dery.mid,6.0,0,77.0,0.0,77.0,3.0,2.0,13.79,-0.05249,5.926,2.0,0.4157,0.01696,0.1314,0.284,0.5483,2.441,15.07,6.721,0.2427,0.314,0.002769,3.0,4.0,2.0,0.7831,0.6272,0.06762,0.03617,0.6,10.61,3.804,69.0,0.02841,0.25,1.0,0.0,0.1523,0.2164,0.1456,0.4858,2.875
69,69,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/valse_caprice_2_(c)dery.mid,6.0,0,72.0,0.0,74.0,4.0,2.0,13.07,0.008309,5.768,2.0,0.4339,0.04283,0.09775,0.2832,0.4883,1.965,12.47,5.6320000000000014,0.2109,0.3219,0.004829,3.0,4.0,4.0,0.8408,0.7302,0.06184,0.03622,0.6,9.397,3.668,61.0,0.0288,0.375,1.0,0.0,0.07426,0.1778,0.1548,0.5931,3.744
70,70,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/valse_caprice_3_(c)dery.mid,6.0,0,75.0,0.0,79.0,6.0,2.0,15.25,-0.1888,5.417000000000002,2.0,0.3814,0.02563,0.1343,0.3568,0.5324,2.224,12.38,6.466,0.2949,0.3577,0.02196,3.0,4.0,3.0,0.9785,1.058,0.05611,0.03237,0.6,7.747000000000001,3.457,60.0,0.025480000000000003,0.375,1.0,0.0,0.0565,0.1587,0.1216,0.6632,2.317
71,71,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/valse_caprice_4_(c)dery.mid,6.0,0,78.0,0.0,80.0,3.0,2.0,15.07,0.1682,5.48,2.0,0.4747,0.03344,0.0763,0.2276,0.525,2.079,12.65,6.641,0.3194,0.3605,0.007462999999999998,3.0,4.0,3.0,0.9829,1.012,0.05055,0.03517,0.6,8.993,2.705,63.0,0.02757,0.375,1.0,0.0,0.04624,0.1312,0.1301,0.6925,4.126
