,Unnamed: 0,Unnamed: 0.1,Composer,clusters,Number_of_Pitches,Number_of_Common_Pitches,Range,Dominant_Spread,Strong_Tonal_Centres,Pitch_Variability,Pitch_Skewness,Pitch_Kurtosis,Most_Common_Melodic_Interval,Amount_of_Arpeggiation,Repeated_Notes,Chromatic_Motion,Stepwise_Motion,Direction_of_Melodic_Motion,Average_Length_of_Melodic_Arcs,Average_Interval_Spanned_by_Melodic_Arcs,Melodic_Pitch_Variety,Vertical_Dissonance_Ratio,Non-Standard_Chords,Complex_Chords,Initial_Time_Signature_0,Initial_Time_Signature_1,Metrical_Diversity,Mean_Rhythmic_Value,Rhythmic_Value_Variability,Complete_Rests_Fraction,Rhythmic_Variability_-_Tempo_Standardized,Polyrhythms_-_Tempo_Standardized,Note_Density,Note_Density_Variability,Strongest_Rhythmic_Pulse,Rhythmic_Variability,Polyrhythms,Number_of_Pitched_Instruments,Voice_Equality_-_Number_of_Notes,Parallel_Motion,Similar_Motion,Contrary_Motion,Oblique_Motion,Average_Note_to_Note_Change_in_Dynamics
65,65,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/buxtehude_(c)contributors-kunstderfuge/meine_seele_erhebt_(mccloskey).mid,5.0,0,29.0,4.0,38.0,6.0,2.0,9.172,-0.7231,5.591,2.0,0.3415,0.161,0.1902,0.5659,0.5291,2.072,5.735,5.134,0.1032,0.2159,0.0,4.0,4.0,1.0,1.694,1.011,0.04167,0.04555,0.6667,3.193,1.709,44.0,0.05587,1.0,1.0,4.787,0.08756,0.1659,0.212,0.5346,0.0
66,66,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/buxtehude_(c)contributors-kunstderfuge/o_mensch_bewein_(mccloskey).mid,5.0,0,32.0,1.0,36.0,6.0,2.0,8.132,-0.4572,5.5310000000000015,2.0,0.2478,0.1096,0.2588,0.6579,0.4754,1.99,5.083,5.049,0.1647,0.1875,0.0,4.0,4.0,1.0,0.8348,0.3572,0.0303,0.03389,0.6,4.027,0.8812,52.0,0.05463,1.0,1.0,12.03,0.035039999999999995,0.1802,0.2103,0.5745,0.0
67,67,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/buxtehude_(c)contributors-kunstderfuge/verleih_uns_frieden_(mccloskey).mid,5.0,0,31.0,0.0,39.0,6.0,2.0,8.102,-0.05235,5.3260000000000005,2.0,0.2411,0.1405,0.2579,0.6876,0.478,1.943,4.521,4.542,0.09881,0.1638,0.0,4.0,4.0,1.0,0.9761,0.7276,0.08202999999999999,0.03422,0.6,3.883,1.93,62.0,0.04537,0.6667,1.0,11.44,0.07028999999999999,0.1485,0.2507,0.5305,0.0
68,68,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/buxtehude_(c)contributors-kunstderfuge/wachet_auf_ruft_(mccloskey).mid,5.0,0,32.0,2.0,47.0,6.0,2.0,11.25,0.3131,5.613,2.0,0.3058,0.1439,0.205,0.5647,0.4832,1.967,5.372000000000001,5.034,0.1157,0.1894,0.0,4.0,4.0,1.0,1.872,0.9035,0.08333,0.0475,0.6667,3.133,0.7982,48.0,0.05778,1.0,1.0,8.386000000000001,0.03865,0.2222,0.2029,0.5362,0.0
69,69,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/buxtehude_(c)contributors-kunstderfuge/waer_gott_nicht_mit_uns_(mccloskey).mid,5.0,0,32.0,2.0,36.0,7.0,2.0,8.501,-0.4320000000000001,5.28,2.0,0.2007,0.07895,0.2763,0.7303,0.475,2.569,6.495,5.4460000000000015,0.1379,0.2237,0.0,4.0,4.0,1.0,0.7403,0.3124,0.05,0.03418,0.6,4.449,1.227,52.0,0.05476,1.0,1.0,5.292000000000002,0.05544,0.1992,0.2731,0.4723,0.0
70,70,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/buxtehude_(c)contributors-kunstderfuge/wenn_wir_in_hoechsten_(mccloskey).mid,5.0,0,24.0,2.0,31.0,6.0,2.0,7.63,-0.5314,5.518,2.0,0.264,0.1011,0.264,0.6629,0.4562,1.928,4.904,5.084,0.1294,0.2436,0.0,4.0,4.0,1.0,0.8571,0.5284,0.025,0.03383,0.6,3.337,0.7331,44.0,0.05295,1.0,1.0,7.141,0.04403,0.2201,0.217,0.5189,0.0
71,71,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/buxtehude_(c)contributors-kunstderfuge/wo_soll_ich_fliehen_hin_(mccloskey).mid,5.0,0,25.0,1.0,34.0,6.0,2.0,7.852,-0.07526000000000001,5.379,2.0,0.299,0.1804,0.232,0.6443,0.478,2.208,4.792,4.687,0.09346,0.1327,0.0,2.0,4.0,1.0,0.9899,0.5277,0.02,0.03799,0.75,3.762,0.9627,57.0,0.0621,1.0,1.0,6.351,0.08753999999999999,0.2155,0.2222,0.4747,0.0
0,0,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/barcarolle_101_(c)lefeldt.mid,6.0,0,65.0,0.0,76.0,4.0,2.0,12.84,0.0267,5.724,3.0,0.4056,0.0127,0.06261,0.1724,0.7059,2.584,25.31,7.081,0.246,0.3854,0.01332,1.0,8.0,2.0,0.8441,0.9081,0.009736,0.02496,0.3,7.5710000000000015,3.411,70.0,0.028010000000000004,0.25,1.0,0.0,0.047310000000000005,0.0803,0.08116,0.7912,8.812999999999997
1,1,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/barcarolle_104_2_(c)lefeldt.mid,6.0,0,65.0,0.0,69.0,4.0,2.0,12.02,-0.02017,5.979,5.0,0.4163,0.00375,0.045,0.1525,0.6374,1.875,16.3,5.955,0.2088,0.4165,0.002646,1.0,8.0,2.0,0.6791,0.5755,0.02802,0.02494,0.4,8.003,4.838,63.0,0.0279,0.375,1.0,0.0,0.02602,0.1516,0.060279999999999986,0.7621,9.881
2,2,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/barcarolle_105_(c)lefeldt.mid,6.0,0,70.0,0.0,85.0,3.0,1.0,12.32,-0.2106,5.952000000000001,10.0,0.4691,0.03011,0.0626,0.1204,0.5572,2.016,21.01,7.115,0.2132,0.3422,0.02364,1.0,8.0,2.0,0.6456,0.616,0.0116,0.02454,0.4,9.669,4.64,70.0,0.02759,0.25,1.0,0.0,0.04526,0.09579,0.03684,0.8221,9.587
3,3,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/barcarolle_105b_(c)lefeldt.mid,6.0,0,58.0,0.0,67.0,3.0,2.0,12.09,-0.2051,5.631,2.0,0.3858,0.02077,0.05027,0.1443,0.6987,2.113,20.81,5.797999999999999,0.2988,0.4942,0.007479,1.0,8.0,2.0,0.6829,0.5888,0.01293,0.02602,0.4,8.135,2.829,62.0,0.02919,0.375,1.0,0.0,0.042710000000000005,0.134,0.09671,0.7266,9.821
