,Unnamed: 0,Unnamed: 0.1,Composer,clusters,Range,Dominant_Spread,Strong_Tonal_Centres,Pitch_Variability,Pitch_Class_Variability,Pitch_Skewness,Pitch_Kurtosis,Chromatic_Motion,Stepwise_Motion,Average_Length_of_Melodic_Arcs,Average_Interval_Spanned_by_Melodic_Arcs,Melodic_Pitch_Variety,Average_Number_of_Simultaneous_Pitch_Classes,Average_Number_of_Simultaneous_Pitches,Vertical_Octaves,Perfect_Vertical_Intervals,Vertical_Dissonance_Ratio,Standard_Triads,Non-Standard_Chords,Complex_Chords,Initial_Time_Signature_0,Initial_Time_Signature_1,Metrical_Diversity,Total_Number_of_Notes,Range_of_Rhythmic_Values,Number_of_Different_Rhythmic_Values_Present,Rhythmic_Value_Variability,Number_of_Strong_Rhythmic_Pulses_-_Tempo_Standardized,Rhythmic_Variability_-_Tempo_Standardized,Polyrhythms_-_Tempo_Standardized,Tempo_Variability,Duration_in_Seconds,Note_Density,Note_Density_Variability,Number_of_Pitched_Instruments,Maximum_Number_of_Independent_Voices,Variability_of_Number_of_Independent_Voices,Voice_Equality_-_Number_of_Notes,Voice_Separation,Parallel_Motion,Dynamic_Range,Variation_of_Dynamics
10,10,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/buxtehude_(c)contributors-kunstderfuge/buxwv143_(unknown).mid,5.0,0,67.0,4.0,1.0,14.43,3.3360000000000003,-0.5874,5.905,0.1074,0.2381,2.505,27.0,4.84,2.385,3.614,0.2412,0.4913,0.0999,0.3872,0.1581,0.0,4.0,4.0,2.0,2107.0,11.0,12.0,0.7988,5.0,0.028010000000000004,0.6,17.21,230.4,9.145,3.906,1.0,1.0,0.0,0.0,0.0,0.1451,0.0,0.0
11,11,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/buxtehude_(c)contributors-kunstderfuge/buxwv144_(mccloskey).mid,5.0,0,43.0,6.0,2.0,8.293,3.386,-0.331,5.749,0.2075,0.6012,1.479,4.202,5.1370000000000005,2.439,2.8710000000000004,0.149,0.3912,0.1099,0.3668,0.1979,0.0,4.0,2.0,1.0,1175.0,7.0,7.0,0.8935,5.0,0.034789999999999995,0.4,1.815e-10,190.6,6.165,1.709,1.0,4.0,0.8758,52.96,6.667000000000002,0.03869,0.0,0.0
12,12,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/buxtehude_(c)contributors-kunstderfuge/buxwv145_(c)maclean.mid,5.0,0,48.0,6.0,2.0,10.41,3.412,-0.1988,5.147,0.206,0.601,1.3430000000000002,3.909,4.25,2.434,2.904,0.1369,0.4954,0.12,0.3822,0.2309,0.003753,4.0,4.0,2.0,3180.0,11.0,12.0,0.8723,5.0,0.02428,0.4,4.785,450.4,7.06,2.537,3.0,5.0,1.485,153.6,5.75,0.02436,49.0,13.78
13,13,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/buxtehude_(c)contributors-kunstderfuge/buxwv145_(c)mccoy.mid,5.0,0,60.0,7.0,2.0,9.59,3.418,-0.3887,6.19,0.1506,0.4808,1.6669999999999998,8.495,4.734,2.279,3.127,0.16699999999999998,0.545,0.1104,0.3689,0.2175,0.005872,4.0,4.0,1.0,5084.0,11.0,12.0,0.7697,5.0,0.0215,0.3,13.3,338.8,15.0,6.198,7.0,5.0,0.9481,454.6,1.857,0.1044,31.0,5.962999999999999
14,14,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/buxtehude_(c)contributors-kunstderfuge/buxwv146_(c)maclean.mid,5.0,0,45.0,6.0,2.0,9.137,3.4330000000000003,0.02448,5.2810000000000015,0.2511,0.5888,1.436,4.398,4.062,2.504,2.95,0.1213,0.5028,0.1481,0.28,0.2727,0.0075299999999999985,4.0,4.0,1.0,3567.0,11.0,12.0,0.8296,3.0,0.02367,0.2,25.54,386.8,9.222,5.109,4.0,9.0,1.907,295.3,1.833,0.07586,91.0,21.74
15,15,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/buxtehude_(c)contributors-kunstderfuge/buxwv147_(c)maclean.mid,5.0,0,47.0,7.0,2.0,8.702,3.555,-0.5522,5.875,0.2709,0.6454,1.5590000000000002,4.302,5.061,2.5580000000000003,3.079,0.1152,0.5433,0.1023,0.3887,0.2422,0.002573,4.0,4.0,1.0,1526.0,11.0,12.0,1.084,3.0,0.02858,0.4,10.3,233.0,6.549,3.948,3.0,8.0,2.2840000000000003,79.98,2.444,0.03525,80.0,25.74
16,16,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/buxtehude_(c)contributors-kunstderfuge/buxwv148_(c)maclean.mid,5.0,0,46.0,6.0,2.0,8.96,3.364,-0.4768,5.55,0.2588,0.5993,1.53,4.394,4.936,2.584,2.9960000000000004,0.09986,0.5273,0.1169,0.3456,0.2676,0.00105,4.0,4.0,2.0,3431.0,11.0,12.0,1.351,3.0,0.02429,0.3,6.57,485.4,7.069,4.419,4.0,8.0,1.899,209.3,2.857,0.04917,59.0,18.19
17,17,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/buxtehude_(c)contributors-kunstderfuge/buxwv149_(c)maclean.mid,5.0,0,48.0,4.0,2.0,9.708,3.482,-0.5103,5.34,0.2583,0.6406,1.63,4.574,4.513,2.474,2.877,0.1092,0.5036,0.109,0.3719,0.2602,0.0008172,12.0,8.0,3.0,3236.0,11.0,12.0,1.393,5.0,0.02565,0.2,35.73,419.6,7.711,3.688,5.0,7.0,1.719,336.0,3.833,0.07502,69.0,19.17
0,0,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/barcarolle_101_(c)lefeldt.mid,6.0,0,76.0,4.0,2.0,12.84,3.533,0.0267,5.724,0.06261,0.1724,2.584,25.31,7.081,2.685,3.609,0.1952,0.4320000000000001,0.246,0.2145,0.3854,0.01332,1.0,8.0,2.0,1724.0,9.0,10.0,0.9081,5.0,0.02496,0.3,14.03,227.7,7.5710000000000015,3.411,1.0,1.0,0.0,0.0,0.0,0.047310000000000005,75.0,13.07
1,1,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/barcarolle_104_2_(c)lefeldt.mid,6.0,0,69.0,4.0,2.0,12.02,3.4560000000000004,-0.02017,5.979,0.045,0.1525,1.875,16.3,5.955,2.942,3.54,0.1345,0.3782,0.2088,0.2488,0.4165,0.002646,1.0,8.0,2.0,1374.0,8.0,9.0,0.5755,5.0,0.02494,0.4,24.94,171.7,8.003,4.838,1.0,1.0,0.0,0.0,0.0,0.02602,77.0,14.11
